Date,Open,Close
2011-06-02,68.72000122070312,67.75
2011-06-03,66.4800033569336,67.19000244140625
2011-06-06,66.8499984741211,65.86000061035156
2011-06-07,66.33000183105469,66.04000091552734
2011-06-08,65.70999908447266,65.44999694824219
2011-06-09,65.80000305175781,66.61000061035156
2011-06-10,66.12000274658203,65.5199966430664
2011-06-13,65.58999633789062,65.04000091552734
2011-06-14,65.87000274658203,66.16999816894531
2011-06-15,65.5,65.55999755859375
2011-06-16,65.73999786376953,64.8499984741211
2011-06-17,65.52999877929688,64.69999694824219
2011-06-20,64.6500015258789,65.68000030517578
2011-06-21,66.27999877929688,67.68000030517578
2011-06-22,67.31999969482422,67.27999877929688
2011-06-23,66.30000305175781,66.9800033569336
2011-06-24,67.05999755859375,66.13999938964844
2011-06-27,66.1500015258789,66.1500015258789
2011-06-28,66.44000244140625,67.31999969482422
2011-06-29,67.73999786376953,68.5199966430664
2011-06-30,68.63999938964844,69.19999694824219
2011-07-01,69.55000305175781,70.4800033569336
2011-07-05,70.76000213623047,70.05999755859375
2011-07-06,69.93000030517578,70.19999694824219
2011-07-07,71.01000213623047,70.55000305175781
2011-07-08,69.58999633789062,70.55999755859375
2011-07-11,69.37999725341797,69.0999984741211
2011-07-12,68.77999877929688,68.66000366210938
2011-07-13,69.0999984741211,68.44000244140625
2011-07-14,68.76000213623047,67.91999816894531
2011-07-15,68.23999786376953,68.1500015258789
2011-07-18,67.8499984741211,67.38999938964844
2011-07-19,67.97000122070312,68.87999725341797
2011-07-20,69.08000183105469,68.11000061035156
2011-07-21,68.37999725341797,69.91000366210938
2011-07-22,68.97000122070312,66.88999938964844
2011-07-25,66.31999969482422,68.69999694824219
2011-07-26,68.62999725341797,68.33999633789062
2011-07-27,67.7699966430664,67.95999908447266
2011-07-28,67.94000244140625,67.41999816894531
2011-07-29,66.1500015258789,66.58000183105469
2011-08-01,67.48999786376953,66.52999877929688
2011-08-02,65.93000030517578,63.18000030517578
2011-08-03,62.869998931884766,63.33000183105469
2011-08-04,62.369998931884766,57.40999984741211
2011-08-05,58.43000030517578,56.279998779296875
2011-08-08,53.88999938964844,51.459999084472656
2011-08-09,52.95000076293945,56.029998779296875
2011-08-10,53.529998779296875,52.7599983215332
2011-08-11,52.900001525878906,57.0
2011-08-12,57.59000015258789,58.119998931884766
2011-08-15,58.869998931884766,59.45000076293945
2011-08-16,57.380001068115234,55.2599983215332
2011-08-17,55.7400016784668,53.9900016784668
2011-08-18,52.2400016784668,48.380001068115234
2011-08-19,47.75,46.310001373291016
2011-08-22,47.79999923706055,45.61000061035156
2011-08-23,46.08000183105469,47.09000015258789
2011-08-24,47.15999984741211,48.47999954223633
2011-08-25,48.84000015258789,47.61000061035156
2011-08-26,47.150001525878906,49.459999084472656
2011-08-29,50.22999954223633,51.88999938964844
2011-08-30,51.4900016784668,50.84000015258789
2011-08-31,51.45000076293945,50.709999084472656
2011-09-01,50.900001525878906,49.939998626708984
2011-09-02,48.70000076293945,47.63999938964844
2011-09-06,45.61000061035156,46.91999816894531
2011-09-07,47.75,48.84000015258789
2011-09-08,48.619998931884766,47.72999954223633
2011-09-09,47.040000915527344,45.849998474121094
2011-09-12,45.029998779296875,44.689998626708984
2011-09-13,44.84000015258789,45.61000061035156
2011-09-14,45.84000015258789,46.15999984741211
2011-09-15,46.709999084472656,46.83000183105469
2011-09-16,46.9900016784668,46.29999923706055
2011-09-19,45.119998931884766,45.86000061035156
2011-09-20,45.97999954223633,44.9900016784668
2011-09-21,45.060001373291016,43.43000030517578
2011-09-22,41.65999984741211,40.220001220703125
2011-09-23,40.02000045776367,40.91999816894531
2011-09-26,41.47999954223633,42.439998626708984
2011-09-27,43.79999923706055,44.0099983215332
2011-09-28,43.95000076293945,41.0099983215332
2011-09-29,42.43000030517578,42.34000015258789
2011-09-30,41.43000030517578,40.400001525878906
2011-10-03,40.15999984741211,39.0
2011-10-04,38.41999816894531,40.27000045776367
2011-10-05,40.52000045776367,42.4900016784668
2011-10-06,42.22999954223633,43.0
2011-10-07,43.18000030517578,43.400001525878906
2011-10-10,43.95000076293945,45.959999084472656
2011-10-11,45.31999969482422,46.13999938964844
2011-10-12,46.75,47.439998626708984
2011-10-13,47.650001525878906,47.5
2011-10-14,48.25,48.630001068115234
2011-10-17,48.4900016784668,47.43000030517578
2011-10-18,47.41999816894531,48.959999084472656
2011-10-19,48.560001373291016,44.83000183105469
2011-10-20,45.130001068115234,45.439998626708984
2011-10-21,46.04999923706055,46.529998779296875
2011-10-24,46.720001220703125,48.61000061035156
2011-10-25,48.529998779296875,50.959999084472656
2011-10-26,52.27000045776367,52.720001220703125
2011-10-27,55.79999923706055,55.2599983215332
2011-10-28,54.599998474121094,55.130001068115234
2011-10-31,54.43000030517578,53.290000915527344
2011-11-01,51.83000183105469,50.970001220703125
2011-11-02,52.45000076293945,52.91999816894531
2011-11-03,54.0099983215332,54.400001525878906
2011-11-04,53.65999984741211,54.369998931884766
2011-11-07,54.5099983215332,54.599998474121094
2011-11-08,55.02000045776367,54.529998779296875
2011-11-09,52.880001068115234,51.880001068115234
2011-11-10,52.959999084472656,52.5
2011-11-11,53.34000015258789,53.84000015258789
2011-11-14,53.65999984741211,53.290000915527344
2011-11-15,52.880001068115234,52.310001373291016
2011-11-16,51.689998626708984,52.15999984741211
2011-11-17,51.86000061035156,50.349998474121094
2011-11-18,50.56999969482422,50.29999923706055
2011-11-21,49.400001525878906,49.75
2011-11-22,49.52000045776367,49.04999923706055
2011-11-23,48.209999084472656,47.0
2011-11-25,46.66999816894531,47.22999954223633
2011-11-28,49.400001525878906,49.630001068115234
2011-11-29,49.959999084472656,50.02000045776367
2011-11-30,52.720001220703125,54.529998779296875
2011-12-01,54.130001068115234,53.5
2011-12-02,54.34000015258789,53.290000915527344
2011-12-05,54.45000076293945,53.75
2011-12-06,54.349998474121094,53.7400016784668
2011-12-07,53.31999969482422,54.58000183105469
2011-12-08,53.849998474121094,53.08000183105469
2011-12-09,53.040000915527344,53.09000015258789
2011-12-12,52.150001525878906,50.90999984741211
2011-12-13,51.209999084472656,50.4900016784668
2011-12-14,49.869998931884766,48.06999969482422
2011-12-15,49.0,48.81999969482422
2011-12-16,49.27000045776367,50.15999984741211
2011-12-19,50.290000915527344,48.0099983215332
2011-12-20,49.220001220703125,50.04999923706055
2011-12-21,49.880001068115234,49.81999969482422
2011-12-22,49.88999938964844,50.7599983215332
2011-12-23,50.83000183105469,51.13999938964844
2011-12-27,51.040000915527344,51.4900016784668
2011-12-28,51.31999969482422,50.16999816894531
2011-12-29,50.310001373291016,51.4900016784668
2011-12-30,51.54999923706055,51.5099983215332
2012-01-03,52.90999984741211,52.72999954223633
2012-01-04,52.68000030517578,53.5
2012-01-05,52.779998779296875,53.58000183105469
2012-01-06,53.68000030517578,53.470001220703125
2012-01-09,53.72999954223633,53.43000030517578
2012-01-10,54.349998474121094,55.09000015258789
2012-01-11,54.79999923706055,55.369998931884766
2012-01-12,55.70000076293945,57.4900016784668
2012-01-13,56.95000076293945,56.79999923706055
2012-01-17,57.970001220703125,57.34000015258789
2012-01-18,57.0,58.5099983215332
2012-01-19,58.630001068115234,60.09000015258789
2012-01-20,60.0,59.63999938964844
2012-01-23,59.77000045776367,60.09000015258789
2012-01-24,60.0099983215332,62.65999984741211
2012-01-25,62.70000076293945,62.09000015258789
2012-01-26,62.70000076293945,63.02000045776367
2012-01-27,63.06999969482422,63.25
2012-01-30,62.70000076293945,63.41999816894531
2012-01-31,63.790000915527344,64.30999755859375
2012-02-01,65.16000366210938,66.4000015258789
2012-02-02,66.62000274658203,65.66999816894531
2012-02-03,66.80999755859375,66.98999786376953
2012-02-06,66.44000244140625,67.5
2012-02-07,67.44999694824219,66.9000015258789
2012-02-08,67.12999725341797,66.7300033569336
2012-02-09,66.91999816894531,66.51000213623047
2012-02-10,65.45999908447266,65.2300033569336
2012-02-13,65.80999755859375,66.13999938964844
2012-02-14,65.7699966430664,65.25
2012-02-15,65.5999984741211,64.70999908447266
2012-02-16,64.79000091552734,66.37999725341797
2012-02-17,66.69000244140625,66.27999877929688
2012-02-21,66.5199966430664,65.7699966430664
2012-02-22,65.98999786376953,66.19000244140625
2012-02-23,66.08000183105469,66.58000183105469
2012-02-24,66.54000091552734,66.13999938964844
2012-02-27,65.5,66.88999938964844
2012-02-28,66.87999725341797,66.7300033569336
2012-02-29,66.88999938964844,66.5199966430664
2012-03-01,66.94999694824219,67.69999694824219
2012-03-02,67.44999694824219,65.91999816894531
2012-03-05,65.23999786376953,62.400001525878906
2012-03-06,63.380001068115234,60.04999923706055
2012-03-07,60.11000061035156,61.5
2012-03-08,62.38999938964844,62.93000030517578
2012-03-09,62.939998626708984,63.04999923706055
2012-03-12,62.9900016784668,62.75
2012-03-13,62.81999969482422,63.65999984741211
2012-03-14,63.650001525878906,63.90999984741211
2012-03-15,64.0,64.5999984741211
2012-03-16,64.79000091552734,64.37000274658203
2012-03-19,64.18000030517578,64.37999725341797
2012-03-20,63.880001068115234,64.0199966430664
2012-03-21,64.25,64.27999877929688
2012-03-22,63.59000015258789,63.43000030517578
2012-03-23,63.529998779296875,62.66999816894531
2012-03-26,63.279998779296875,64.38999938964844
2012-03-27,64.44000244140625,64.62999725341797
2012-03-28,64.48999786376953,63.15999984741211
2012-03-29,62.75,63.689998626708984
2012-03-30,64.4000015258789,63.91999816894531
2012-04-02,63.650001525878906,65.18000030517578
2012-04-03,65.19000244140625,64.41999816894531
2012-04-04,63.720001220703125,63.63999938964844
2012-04-05,63.439998626708984,63.02000045776367
2012-04-09,61.91999816894531,63.029998779296875
2012-04-10,63.029998779296875,61.310001373291016
2012-04-11,62.38999938964844,61.97999954223633
2012-04-12,62.11000061035156,63.720001220703125
2012-04-13,63.439998626708984,62.849998474121094
2012-04-16,63.060001373291016,63.369998931884766
2012-04-17,64.0999984741211,64.12000274658203
2012-04-18,63.7599983215332,65.25
2012-04-19,64.97000122070312,63.72999954223633
2012-04-20,63.560001373291016,65.44000244140625
2012-04-23,62.66999816894531,64.41000366210938
2012-04-24,64.19000244140625,63.22999954223633
2012-04-25,64.44000244140625,64.55999755859375
2012-04-26,64.19999694824219,65.12999725341797
2012-04-27,65.41000366210938,66.2300033569336
2012-04-30,65.86000061035156,65.30000305175781
2012-05-01,65.30000305175781,66.06999969482422
2012-05-02,65.80000305175781,66.05999755859375
2012-05-03,66.05999755859375,65.5
2012-05-04,64.98999786376953,63.65999984741211
2012-05-07,63.2400016784668,64.25
2012-05-08,63.650001525878906,63.25
2012-05-09,62.0,62.61000061035156
2012-05-10,63.349998474121094,62.900001525878906
2012-05-11,62.18000030517578,63.279998779296875
2012-05-14,62.099998474121094,60.970001220703125
2012-05-15,60.97999954223633,61.849998474121094
2012-05-16,62.9900016784668,62.810001373291016
2012-05-17,62.7400016784668,59.97999954223633
2012-05-18,60.290000915527344,59.29999923706055
2012-05-21,59.400001525878906,61.689998626708984
2012-05-22,61.349998474121094,59.56999969482422
2012-05-23,58.970001220703125,60.099998474121094
2012-05-24,60.439998626708984,60.4900016784668
2012-05-25,61.060001373291016,61.43000030517578
2012-05-29,62.349998474121094,63.68000030517578
2012-05-30,62.72999954223633,60.779998779296875
2012-05-31,61.0,60.70000076293945
2012-06-01,58.209999084472656,56.900001525878906
2012-06-04,57.25,57.2599983215332
2012-06-05,57.18000030517578,59.380001068115234
2012-06-06,59.779998779296875,60.5099983215332
2012-06-07,61.5,60.34000015258789
2012-06-08,60.13999938964844,60.83000183105469
2012-06-11,61.70000076293945,58.66999816894531
2012-06-12,59.119998931884766,59.70000076293945
2012-06-13,59.2599983215332,57.7400016784668
2012-06-14,57.7400016784668,57.93000030517578
2012-06-15,58.369998931884766,59.279998779296875
2012-06-18,58.95000076293945,60.31999969482422
2012-06-19,60.70000076293945,61.75
2012-06-20,61.75,61.81999969482422
2012-06-21,61.72999954223633,59.04999923706055
2012-06-22,59.33000183105469,58.7400016784668
2012-06-25,57.70000076293945,57.70000076293945
2012-06-26,57.869998931884766,58.470001220703125
2012-06-27,58.66999816894531,57.75
2012-06-28,57.060001373291016,57.88999938964844
2012-06-29,59.540000915527344,59.63999938964844
2012-07-02,59.939998626708984,60.189998626708984
2012-07-03,60.279998779296875,61.900001525878906
2012-07-05,61.63999938964844,61.56999969482422
2012-07-06,60.65999984741211,59.9900016784668
2012-07-09,60.02000045776367,59.45000076293945
2012-07-10,60.040000915527344,58.880001068115234
2012-07-11,58.9900016784668,57.29999923706055
2012-07-12,57.04999923706055,56.529998779296875
2012-07-13,57.11000061035156,57.939998626708984
2012-07-16,57.81999969482422,57.31999969482422
2012-07-17,57.79999923706055,57.22999954223633
2012-07-18,55.2400016784668,55.61000061035156
2012-07-19,55.70000076293945,57.529998779296875
2012-07-20,57.0,57.06999969482422
2012-07-23,56.0,56.70000076293945
2012-07-24,56.7599983215332,54.84000015258789
2012-07-25,55.40999984741211,55.13999938964844
2012-07-26,56.099998474121094,56.369998931884766
2012-07-27,56.810001373291016,58.119998931884766
2012-07-30,58.09000015258789,58.220001220703125
2012-07-31,57.88999938964844,58.220001220703125
2012-08-01,58.470001220703125,57.75
2012-08-02,56.91999816894531,56.529998779296875
2012-08-03,58.11000061035156,58.529998779296875
2012-08-06,58.91999816894531,59.11000061035156
2012-08-07,59.68000030517578,60.22999954223633
2012-08-08,59.90999984741211,60.18000030517578
2012-08-09,60.20000076293945,60.869998931884766
2012-08-10,60.599998474121094,60.9900016784668
2012-08-13,60.5,61.06999969482422
2012-08-14,61.189998626708984,60.439998626708984
2012-08-15,60.34000015258789,60.869998931884766
2012-08-16,61.0099983215332,61.20000076293945
2012-08-17,61.099998474121094,61.310001373291016
2012-08-20,61.04999923706055,61.15999984741211
2012-08-21,60.880001068115234,58.86000061035156
2012-08-22,58.619998931884766,57.95000076293945
2012-08-23,57.939998626708984,56.70000076293945
2012-08-24,56.72999954223633,56.400001525878906
2012-08-27,56.61000061035156,55.310001373291016
2012-08-28,55.310001373291016,54.52000045776367
2012-08-29,54.72999954223633,54.72999954223633
2012-08-30,54.20000076293945,54.400001525878906
2012-08-31,54.84000015258789,54.72999954223633
2012-09-04,54.439998626708984,54.08000183105469
2012-09-05,54.099998474121094,54.060001373291016
2012-09-06,54.689998626708984,55.75
2012-09-07,56.0,56.91999816894531
2012-09-10,56.65999984741211,56.75
2012-09-11,56.66999816894531,56.779998779296875
2012-09-12,56.439998626708984,54.68000030517578
2012-09-13,54.119998931884766,53.47999954223633
2012-09-14,53.689998626708984,53.88999938964844
2012-09-17,53.68000030517578,53.459999084472656
2012-09-18,52.86000061035156,52.68000030517578
2012-09-19,52.939998626708984,54.27000045776367
